,Posicao 0,Posicao 1,Posicao 2,Posicao 3,Posicao 4,Posicao 5,Posicao 6,Posicao 7,OFF,MANUAL,AUTO,COMISSIONAMENTO,Dia,Backtracking,Bateria OK,Bateria Insuficiente,Bateria Minimo,Bateria Critico,OK,Botao de Emergencia,Horario não Configurado,Falha na Comunicação,Posição fora do Intervalo,Velocidade Baixa,Undervoltage no Motor,Eixo Bloqueado,Sobrecorrente no Motor,Sobrecorrente na Entrada,Undervoltage na Entrada,Alarme 11,Alarme 12,Alarme 13,Alarme 14,Alarme 15,TensaoPainel,CorrentePainel,PosicaoAngular,AnguloCalculado,CorrenteMotor,EstadoBateria,Reserva
0,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09227993985138205,0.08719855095566986,9.994659342336156,0.0,0
1,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.0927593161622986,0.08719855095566986,9.994659342336156,0.39215686274509803,0
2,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09295106668666486,0.08719855095566986,9.994659342336156,0.7843137254901961,0
3,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09247169037574876,0.08719855095566986,9.994659342336156,1.1764705882352942,0
4,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09141706249173298,0.08719855095566986,9.994659342336156,1.5686274509803921,0
5,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09122531196736627,0.08719855095566986,9.994659342336156,1.9607843137254901,0
6,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.08997893355898423,0.08719855095566986,9.994659342336156,2.3529411764705883,0
7,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09122531196736627,0.08719855095566986,9.994659342336156,2.7450980392156863,0
8,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09170468827828282,0.08719855095566986,9.994659342336156,3.1372549019607843,0
9,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09218406458919892,0.08719855095566986,9.994659342336156,3.5294117647058822,0
10,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.0927593161622986,0.08719855095566986,9.994659342336156,3.9215686274509802,0
11,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09247169037574876,0.08719855095566986,9.994659342336156,4.313725490196078,0
12,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09266344090011502,0.08719855095566986,0.0,4.705882352941177,0
13,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09180056354046595,0.08719855095566986,0.0,5.098039215686274,0
14,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09170468827828282,0.08719855095566986,9.994659342336156,5.490196078431373,0
15,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09189643880264908,0.08719855095566986,9.994659342336156,5.88235294117647,0
16,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09237581511356563,0.08719855095566986,9.994659342336156,6.2745098039215685,0
17,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09218406458919892,0.08719855095566986,9.994659342336156,6.666666666666667,0
18,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09247169037574876,0.08719855095566986,9.994659342336156,7.0588235294117645,0
19,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09199231406483221,0.08719855095566986,9.994659342336156,7.450980392156863,0
20,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09189643880264908,0.08719855095566986,9.994659342336156,7.8431372549019605,0
21,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09199231406483221,0.08719855095566986,9.994659342336156,8.235294117647058,0
22,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09170468827828282,0.08719855095566986,9.994659342336156,8.627450980392156,0
23,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09218406458919892,0.08719855095566986,9.994659342336156,9.019607843137255,0
24,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09180056354046595,0.08719855095566986,9.994659342336156,9.411764705882353,0
25,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,-0.01327534905012584,0.09189643880264908,0.08719855095566986,9.994659342336156,9.803921568627452,0
26,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.0927593161622986,0.08719855095566986,0.0,10.196078431372548,0
27,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09295106668666486,0.08719855095566986,0.0,10.588235294117647,0
28,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09189643880264908,0.08719855095566986,0.0,10.980392156862745,0
29,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09218406458919892,0.08719855095566986,0.0,11.372549019607844,0
30,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09333456773539783,0.08719855095566986,9.994659342336156,11.76470588235294,0
31,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09256756563793189,0.08719855095566986,9.994659342336156,12.156862745098039,0
32,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09199231406483221,0.08719855095566986,9.994659342336156,12.549019607843137,0
33,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09256756563793189,0.08719855095566986,9.994659342336156,12.941176470588237,0
34,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09285519142448173,0.08719855095566986,9.994659342336156,13.333333333333334,0
35,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.093046941948848,0.08719855095566986,9.994659342336156,13.725490196078432,0
36,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09122531196736627,0.08719855095566986,9.994659342336156,14.117647058823529,0
37,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09141706249173298,0.08719855095566986,9.994659342336156,14.50980392156863,0
38,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09256756563793189,0.08719855095566986,9.994659342336156,14.901960784313726,0
39,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09266344090011502,0.08719855095566986,9.994659342336156,15.294117647058824,0
40,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09227993985138205,0.08719855095566986,20.996414129854276,15.686274509803921,0
41,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09227993985138205,0.08719855095566986,20.996414129854276,16.07843137254902,0
42,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3.662165255207141,-0.01327534905012584,0.09189643880264908,0.08719855095566986,20.996414129854276,16.470588235294116,0
43,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,-0.01327534905012584,0.09218406458919892,0.08719855095566986,20.996414129854276,16.862745098039216,0
